Country,City,Region,Subregion,Customer,Industry,Segment,Product,Sales,Quantity,Discount,Profit,Year,Month,Day
United Kingdom,Brighton,EMEA,UKIR,Aviva,Finance,SMB,FinanceHub,319.41,5.0,0.1,7.098,2022,6,18
United Kingdom,Brighton,EMEA,UKIR,Aviva,Finance,SMB,Support,14.56,2.0,0.0,6.9888,2022,6,18
United Kingdom,Brighton,EMEA,UKIR,Aviva,Finance,SMB,Data Smasher,30.0,2.0,0.0,3.3,2022,6,18
United Kingdom,Brighton,EMEA,UKIR,Aviva,Finance,SMB,ContactMatcher,48.48,4.0,0.2,16.362,2022,6,18
United Kingdom,Brighton,EMEA,UKIR,Aviva,Finance,SMB,ChatBot Plugin,1.68,1.0,0.0,0.84,2022,6,18
United States,New York City,AMER,NAMER,Mondelez International,Consumer Products,SMB,Data Smasher,13.98,2.0,0.0,6.1512,2021,11,24
United States,New York City,AMER,NAMER,Mondelez International,Consumer Products,SMB,ContactMatcher,25.824,6.0,0.2,9.3612,2021,11,24
United States,New York City,AMER,NAMER,Mondelez International,Consumer Products,SMB,Support,146.73,3.0,0.0,68.9631,2021,11,24
United States,New York City,AMER,NAMER,Mondelez International,Consumer Products,SMB,SaaS Connector Pack,79.76,4.0,0.0,22.3328,2021,11,24
Australia,Sydney,APJ,ANZ,Abbott Laboratories,Healthcare,Enterprise,FinanceHub,213.115,5.0,0.3,-15.2225,2021,4,30
Chile,Puente Alto,AMER,LATAM,Morgan Stanley,Finance,Strategic,ChatBot Plugin,1113.024,8.0,0.2,111.3024,2020,12,5
Chile,Puente Alto,AMER,LATAM,Morgan Stanley,Finance,Strategic,Site Analytics,167.968,4.0,0.2,62.988,2020,12,5
Spain,Madrid,EMEA,EU-WEST,Fannie Mae,Finance,SMB,Support,75.88,2.0,0.0,35.6636,2022,6,5
United Kingdom,London,EMEA,UKIR,Aetna,Healthcare,SMB,ContactMatcher,4.616,1.0,0.2,1.731,2022,9,19
Brazil,Rio de Janeiro,AMER,LATAM,Intel,Tech,SMB,Support,19.05,3.0,0.0,8.763,2023,9,15
South Africa,Cape Town,EMEA,MEA,Oracle,Tech,SMB,FinanceHub,831.936,8.0,0.2,-114.3912,2021,4,26
South Africa,Cape Town,EMEA,MEA,Oracle,Tech,SMB,SaaS Connector Pack,97.04,2.0,0.2,1.213,2021,4,26
South Africa,Cape Town,EMEA,MEA,Oracle,Tech,SMB,Marketing Suite - Gold,72.784,1.0,0.2,-18.196,2021,4,26
Japan,Tokyo,APJ,JAPN,Nissan Motor,Transportation,Strategic,ContactMatcher,1.248,3.0,0.8,-1.9344,2023,12,10
Japan,Tokyo,APJ,JAPN,Nissan Motor,Transportation,Strategic,SaaS Connector Pack,9.708,3.0,0.6,-5.8248,2023,12,10
Japan,Tokyo,APJ,JAPN,Nissan Motor,Transportation,Strategic,Marketing Suite - Gold,27.24,3.0,0.2,2.724,2023,12,10
Japan,Tokyo,APJ,JAPN,Oracle,Tech,SMB,SaaS Connector Pack,19.3,5.0,0.6,-14.475,2020,11,26
Portugal,Lisboa,EMEA,EU-WEST,Tyson Foods,Consumer Products,Strategic,OneView,208.16,1.0,0.0,56.2032,2022,6,13
Portugal,Lisboa,EMEA,EU-WEST,Tyson Foods,Consumer Products,Strategic,ContactMatcher,16.74,3.0,0.0,8.0352,2022,6,13
United States,Los Angeles,AMER,NAMER,Verizon Communications,Communications,SMB,ChatBot Plugin,14.9,5.0,0.0,4.172,2020,10,12
United States,Los Angeles,AMER,NAMER,Verizon Communications,Communications,SMB,Marketing Suite - Gold,21.39,1.0,0.0,6.2031,2020,10,12
Sweden,Uppsala,EMEA,NOR,Itochu,Finance,Strategic,SaaS Connector Pack - Gold,200.984,7.0,0.2,62.8075,2021,9,3
Australia,Sydney,APJ,ANZ,Royal Dutch Shell,Energy,Enterprise,Marketing Suite - Gold,230.376,3.0,0.2,-48.9549,2023,11,14
Colombia,Bogotá,AMER,LATAM,Morgan Stanley,Finance,SMB,FinanceHub,301.96,2.0,0.0,33.2156,2023,5,29
Luxembourg,Luxembourg,EMEA,EU-WEST,Daimler,Transportation,SMB,Data Smasher,19.99,1.0,0.0,6.7966,2023,10,27
Luxembourg,Luxembourg,EMEA,EU-WEST,Daimler,Transportation,SMB,FinanceHub,6.16,2.0,0.0,2.9568,2023,10,27
Japan,Tokyo,APJ,JAPN,Fannie Mae,Finance,Enterprise,Marketing Suite - Gold,158.368,7.0,0.2,13.8572,2022,4,6
United States,New York City,AMER,NAMER,Daimler,Transportation,Strategic,ChatBot Plugin,20.1,3.0,0.0,6.633,2022,9,18
United States,New York City,AMER,NAMER,Daimler,Transportation,Strategic,Site Analytics,73.584,2.0,0.2,8.2782,2022,9,18
United States,New York City,AMER,NAMER,Daimler,Transportation,Strategic,Support,6.48,1.0,0.0,3.1104,2022,9,18
Luxembourg,Luxembourg,EMEA,EU-WEST,Morgan Stanley,Finance,SMB,Support,12.96,2.0,0.0,6.2208,2021,1,31
Luxembourg,Luxembourg,EMEA,EU-WEST,Morgan Stanley,Finance,SMB,SaaS Connector Pack,53.34,3.0,0.0,16.5354,2021,1,31
Luxembourg,Luxembourg,EMEA,EU-WEST,Morgan Stanley,Finance,SMB,ContactMatcher,32.96,2.0,0.0,16.1504,2021,1,31
Belgium,Brussels,EMEA,EU-WEST,Walgreens,Retail,Enterprise,ContactMatcher,5.682,1.0,0.7,-3.788,2023,11,7
United Kingdom,London,EMEA,UKIR,Boeing,Manufacturing,Enterprise,SaaS Connector Pack,96.53,7.0,0.0,40.5426,2023,11,10
United States,Los Angeles,AMER,NAMER,Valero Energy,Energy,SMB,ContactMatcher,51.312,3.0,0.2,17.9592,2023,6,18
Luxembourg,Luxembourg,EMEA,EU-WEST,Nestle,Consumer Products,Strategic,OneView,77.88,6.0,0.0,22.5852,2022,9,7
Australia,Sydney,APJ,ANZ,Philip Morris International,Consumer Products,Enterprise,Support,64.624,7.0,0.2,22.6184,2022,8,30
Australia,Sydney,APJ,ANZ,Philip Morris International,Consumer Products,Enterprise,Data Smasher,95.976,3.0,0.2,-10.7973,2022,8,30
Australia,Sydney,APJ,ANZ,Philip Morris International,Consumer Products,Enterprise,ContactMatcher,1.788,3.0,0.8,-3.0396,2022,8,30
Luxembourg,Luxembourg,EMEA,EU-WEST,Trafigura Group,Finance,SMB,Support,23.92,4.0,0.0,11.7208,2022,12,2
Russia,Moscow,EMEA,EU-EAST,Walmart,Retail,SMB,Data Smasher,238.896,6.0,0.2,-26.8758,2021,11,13
Russia,Moscow,EMEA,EU-EAST,Walmart,Retail,SMB,SaaS Connector Pack,102.36,3.0,0.2,-3.8385,2021,11,13
Russia,Moscow,EMEA,EU-EAST,Walmart,Retail,SMB,ContactMatcher,36.882,3.0,0.7,-25.8174,2021,11,13
Sweden,Stockholm,EMEA,NOR,Cisco Systems,Tech,SMB,Data Smasher,74.112,8.0,0.2,17.6016,2023,11,24
Sweden,Stockholm,EMEA,NOR,Cisco Systems,Tech,SMB,Site Analytics,27.992,1.0,0.2,2.0994,2023,11,24
Sweden,Stockholm,EMEA,NOR,Cisco Systems,Tech,SMB,ChatBot Plugin,3.304,1.0,0.2,1.0738,2023,11,24
Australia,Canberra,APJ,ANZ,Nissan Motor,Transportation,Enterprise,Data Smasher,339.96,5.0,0.2,67.992,2021,10,15
United Kingdom,London,EMEA,UKIR,Prudential Financial,Finance,Strategic,SaaS Connector Pack,41.96,2.0,0.0,10.9096,2023,12,26
Netherlands,The Hague,EMEA,EU-WEST,Walmart,Retail,SMB,ChatBot Plugin,75.96,2.0,0.0,22.788,2022,11,4
Netherlands,The Hague,EMEA,EU-WEST,Walmart,Retail,SMB,ContactMatcher,27.24,6.0,0.0,13.3476,2022,11,4
Mexico,Mexico City,AMER,LATAM,Amazon,Tech,SMB,Storage,40.096,14.0,0.2,14.5348,2020,8,25
Mexico,Mexico City,AMER,LATAM,Amazon,Tech,SMB,SaaS Connector Pack - Gold,4.72,2.0,0.2,1.652,2020,8,25
Mexico,Mexico City,AMER,LATAM,Amazon,Tech,SMB,Support,23.976,3.0,0.2,7.4925,2020,8,25
Mexico,Mexico City,AMER,LATAM,Amazon,Tech,SMB,SaaS Connector Pack - Gold,130.464,6.0,0.2,44.0316,2020,8,25
Canada,Toronto,AMER,NAMER,Trafigura Group,Finance,SMB,ContactMatcher,787.53,3.0,0.0,165.3813,2021,3,2
South Africa,Cape Town,EMEA,MEA,Gazprom,Energy,Strategic,ContactMatcher,157.794,1.0,0.7,-115.7156,2021,4,5
Philippines,Manila,APJ,APAC,Aetna,Healthcare,SMB,SaaS Connector Pack,47.04,3.0,0.0,18.3456,2022,6,13
Philippines,Manila,APJ,APAC,Aetna,Healthcare,SMB,ContactMatcher,30.84,4.0,0.0,13.878,2022,6,13
Philippines,Manila,APJ,APAC,Aetna,Healthcare,SMB,Marketing Suite - Gold,226.56,6.0,0.0,63.4368,2022,6,13
Philippines,Manila,APJ,APAC,Aetna,Healthcare,SMB,SaaS Connector Pack - Gold,115.02,9.0,0.0,51.759,2022,6,13
Philippines,Manila,APJ,APAC,Aetna,Healthcare,SMB,Site Analytics,68.04,7.0,0.0,19.7316,2022,6,13
Japan,Tokyo,APJ,JAPN,FedEx,Transportation,Enterprise,FinanceHub,600.558,3.0,0.3,-8.5794,2020,12,26
Australia,Geelong,APJ,ANZ,Tesco,Retail,SMB,ContactMatcher,617.7,6.0,0.5,-407.682,2020,9,20
Chile,Santiago,AMER,LATAM,Honda Motor,Manufacturing,SMB,ContactMatcher,2.388,2.0,0.7,-1.8308,2023,11,6
Chile,Santiago,AMER,LATAM,Honda Motor,Manufacturing,SMB,Marketing Suite - Gold,243.992,7.0,0.2,30.499,2023,11,6
United States,New York City,AMER,NAMER,Prudential Financial,Finance,Enterprise,FinanceHub,81.424,2.0,0.2,-9.1602,2022,11,7
United States,New York City,AMER,NAMER,Prudential Financial,Finance,Enterprise,SaaS Connector Pack,238.56,3.0,0.0,26.2416,2022,11,7
Mexico,Mexico City,AMER,LATAM,Banco Santander,Finance,Strategic,Site Analytics,59.97,5.0,0.4,-11.994,2023,2,3
Mexico,Mexico City,AMER,LATAM,Banco Santander,Finance,Strategic,Support,78.304,2.0,0.2,29.364,2023,2,3
Mexico,Mexico City,AMER,LATAM,Banco Santander,Finance,Strategic,Storage,21.456,9.0,0.2,6.9732,2023,2,3
United States,Aurora,AMER,NAMER,CVS Health,Retail,SMB,Support,20.04,3.0,0.0,9.6192,2022,10,14
United States,Aurora,AMER,NAMER,CVS Health,Retail,SMB,Support,35.44,1.0,0.0,16.6568,2022,10,14
United States,Aurora,AMER,NAMER,CVS Health,Retail,SMB,ChatBot Plugin,11.52,4.0,0.0,3.456,2022,10,14
United States,Aurora,AMER,NAMER,CVS Health,Retail,SMB,Storage,4.02,2.0,0.0,1.9698,2022,10,14
United States,Aurora,AMER,NAMER,CVS Health,Retail,SMB,ContactMatcher,76.176,3.0,0.2,26.6616,2022,10,14
United States,Aurora,AMER,NAMER,CVS Health,Retail,SMB,Support,65.88,6.0,0.0,18.4464,2022,10,14
United States,Aurora,AMER,NAMER,CVS Health,Retail,SMB,SaaS Connector Pack,43.12,14.0,0.0,20.6976,2022,10,14
France,Paris,EMEA,EU-WEST,General Motors,Manufacturing,Strategic,SaaS Connector Pack,82.8,2.0,0.2,10.35,2022,9,6
United States,Los Angeles,AMER,NAMER,State Farm Insurance Cos.,Finance,Strategic,ChatBot Plugin,8.82,3.0,0.0,2.3814,2023,9,19
United States,Los Angeles,AMER,NAMER,State Farm Insurance Cos.,Finance,Strategic,SaaS Connector Pack - Gold,10.86,3.0,0.0,5.1042,2023,9,19
United States,Los Angeles,AMER,NAMER,State Farm Insurance Cos.,Finance,Strategic,Support,143.7,3.0,0.0,68.976,2023,9,19
Poland,Warsaw,EMEA,EU-WEST,Comcast,Communications,SMB,OneView,839.43,3.0,0.0,218.2518,2023,12,23
United States,Newark,AMER,NAMER,AmerisourceBergen,Healthcare,SMB,Marketing Suite - Gold,671.93,7.0,0.0,20.1579,2021,9,7
Mexico,Monterrey,AMER,LATAM,Toyota Motor,Manufacturing,Enterprise,SaaS Connector Pack,93.888,4.0,0.2,12.9096,2020,10,22
Italy,Rome,EMEA,EU,Walmart,Retail,Strategic,Site Analytics,384.45,11.0,0.0,103.8015,2022,12,6
Italy,Rome,EMEA,EU,Walmart,Retail,Strategic,Site Analytics,149.97,3.0,0.0,5.9988,2022,12,6
Italy,Rome,EMEA,EU,Walmart,Retail,Strategic,FinanceHub,1951.84,8.0,0.0,585.552,2022,12,6
Italy,Rome,EMEA,EU,Walmart,Retail,Strategic,ContactMatcher,171.55,5.0,0.0,80.6285,2022,12,6
Chile,Puente Alto,AMER,LATAM,Johnson & Johnson,Healthcare,Enterprise,OneView,157.92,5.0,0.2,17.766,2022,3,14
Chile,Puente Alto,AMER,LATAM,Johnson & Johnson,Healthcare,Enterprise,Site Analytics,203.184,2.0,0.2,15.2388,2022,3,14
United States,Chicago,AMER,NAMER,Engie,Energy,Strategic,Support,58.38,7.0,0.0,26.271,2021,5,31
United States,Chicago,AMER,NAMER,Engie,Energy,Strategic,Support,105.52,4.0,0.0,48.5392,2021,5,31
United States,Chicago,AMER,NAMER,Engie,Energy,Strategic,Marketing Suite - Gold,80.88,6.0,0.0,21.0288,2021,5,31
Canada,Toronto,AMER,NAMER,HonHai Precision Industry,Tech,Enterprise,ChatBot Plugin,6.63,3.0,0.0,1.7901,2021,5,28
Canada,Toronto,AMER,NAMER,American Express,Finance,SMB,FinanceHub,457.568,2.0,0.2,51.4764,2020,3,1
Singapore,Singapore,APJ,APAC,Daimler,Transportation,SMB,FinanceHub,14.62,2.0,0.0,6.8714,2022,11,21
Singapore,Singapore,APJ,APAC,Daimler,Transportation,SMB,Site Analytics,944.93,7.0,0.0,236.2325,2022,11,21
United States,New York City,AMER,NAMER,J.P. Morgan Chase & Co.,Finance,SMB,Support,5.98,1.0,0.0,2.691,2022,5,12
France,Paris,EMEA,EU-WEST,Kroger,Retail,SMB,Data Smasher,54.384,2.0,0.2,1.3596,2021,12,28
New Zealand,Wellington,APJ,ANZ,Mondelez International,Consumer Products,SMB,SaaS Connector Pack - Gold,28.4,5.0,0.0,13.348,2022,11,17
Canada,Toronto,AMER,NAMER,Volkswagen,Manufacturing,SMB,ContactMatcher,27.68,2.0,0.2,9.688,2022,11,8
Japan,Osaka,APJ,JAPN,Nissan Motor,Transportation,SMB,ChatBot Plugin,9.936,3.0,0.2,2.7324,2020,9,8
Japan,Osaka,APJ,JAPN,Nissan Motor,Transportation,SMB,Big Ol Database,8159.952,8.0,0.4,-1359.992,2020,9,8
Japan,Osaka,APJ,JAPN,Nissan Motor,Transportation,SMB,Marketing Suite - Gold,275.928,3.0,0.2,-58.6347,2020,9,8
Japan,Osaka,APJ,JAPN,Nissan Motor,Transportation,SMB,FinanceHub,1740.06,9.0,0.3,-24.858,2020,9,8
Japan,Osaka,APJ,JAPN,Nissan Motor,Transportation,SMB,ChatBot Plugin,32.064,6.0,0.2,6.8136,2020,9,8
Japan,Osaka,APJ,JAPN,Nissan Motor,Transportation,SMB,OneView,177.98,5.0,0.8,-453.849,2020,9,8
Japan,Osaka,APJ,JAPN,Nissan Motor,Transportation,SMB,Site Analytics,143.976,3.0,0.2,8.9985,2020,9,8
United States,New York City,AMER,NAMER,Chevron,Energy,SMB,Support,20.94,3.0,0.0,9.8418,2020,8,5
United States,New York City,AMER,NAMER,Chevron,Energy,SMB,Support,110.96,2.0,0.0,53.2608,2020,8,5
United States,New York City,AMER,NAMER,Chevron,Energy,SMB,FinanceHub,340.144,7.0,0.2,21.259,2020,8,5
Australia,Sydney,APJ,ANZ,Royal Dutch Shell,Energy,Strategic,OneView,52.448,2.0,0.8,-131.12,2020,9,14
Australia,Sydney,APJ,ANZ,Royal Dutch Shell,Energy,Strategic,FinanceHub,20.16,4.0,0.2,6.552,2020,9,14
Japan,Tokyo,APJ,JAPN,Wells Fargo,Finance,SMB,OneView,97.264,4.0,0.8,-243.16,2023,4,22
Mexico,Monterrey,AMER,LATAM,Oracle,Tech,SMB,FinanceHub,396.802,7.0,0.3,-11.3372,2021,11,21
Mexico,Monterrey,AMER,LATAM,Oracle,Tech,SMB,Support,15.88,5.0,0.2,-3.7715,2021,11,21
United Kingdom,London,EMEA,UKIR,Microsoft,Tech,Enterprise,ChatBot Plugin,3.28,1.0,0.0,1.4104,2021,12,15
Australia,Melbourne,APJ,ANZ,Merck,Healthcare,Strategic,Marketing Suite - Gold,24.816,2.0,0.2,1.8612,2020,12,5
Australia,Melbourne,APJ,ANZ,Merck,Healthcare,Strategic,Data Smasher,408.744,7.0,0.2,76.6395,2020,12,5
Czech Republic,Prague,EMEA,EU-EAST,Merck,Healthcare,Enterprise,Site Analytics,503.96,4.0,0.0,131.0296,2020,11,19
Czech Republic,Prague,EMEA,EU-EAST,Merck,Healthcare,Enterprise,Site Analytics,149.95,5.0,0.0,41.986,2020,11,19
Czech Republic,Prague,EMEA,EU-EAST,Merck,Healthcare,Enterprise,Data Smasher,29.0,2.0,0.0,7.25,2020,11,19
Saudi Arabia,Riyadh,EMEA,MEA,J.P. Morgan Chase & Co.,Finance,SMB,ContactMatcher,7.16,2.0,0.0,3.4368,2022,11,29
United States,Raleigh,AMER,NAMER,AT&T,Communications,Enterprise,Data Smasher,176.8,8.0,0.0,22.984,2020,8,26
Japan,Tokyo,APJ,JAPN,Carrefour,Retail,Strategic,Marketing Suite - Gold,37.224,3.0,0.2,3.7224,2022,7,17
Japan,Saitama,APJ,JAPN,Carrefour,Retail,Strategic,Support,20.016,3.0,0.2,6.255,2022,7,17
United Kingdom,London,EMEA,UKIR,HonHai Precision Industry,Tech,Enterprise,Marketing Suite,899.136,4.0,0.2,112.392,2021,10,12
United Kingdom,London,EMEA,UKIR,HonHai Precision Industry,Tech,Enterprise,Site Analytics,71.76,6.0,0.0,20.0928,2021,10,12
United Kingdom,London,EMEA,UKIR,HonHai Precision Industry,Tech,Enterprise,Support,51.84,8.0,0.0,24.8832,2021,10,12
United Kingdom,London,EMEA,UKIR,HonHai Precision Industry,Tech,Enterprise,Marketing Suite,626.352,3.0,0.2,46.9764,2021,10,12
United Kingdom,London,EMEA,UKIR,HonHai Precision Industry,Tech,Enterprise,ChatBot Plugin,19.9,5.0,0.0,6.567,2021,10,12
United States,Providence,AMER,NAMER,Allstate,Finance,Strategic,SaaS Connector Pack - Gold,14.28,7.0,0.0,6.7116,2021,10,31
Mexico,Mexico City,AMER,LATAM,Tyson Foods,Consumer Products,SMB,ChatBot Plugin,7.408,2.0,0.2,1.2038,2020,3,21
Mexico,Mexico City,AMER,LATAM,Tyson Foods,Consumer Products,SMB,ChatBot Plugin,6.048,3.0,0.2,1.5876,2020,3,21
Argentina,Córdoba,AMER,LATAM,BMW,Manufacturing,Enterprise,Marketing Suite - Gold,46.26,3.0,0.0,12.0276,2023,11,7
France,Paris,EMEA,EU-WEST,Humana,Healthcare,Strategic,ContactMatcher,2.946,2.0,0.7,-2.2586,2023,7,7
France,Paris,EMEA,EU-WEST,Humana,Healthcare,Strategic,Support,16.056,3.0,0.2,5.8203,2023,7,7
Mexico,Guadalajara,AMER,LATAM,Gazprom,Energy,SMB,Support,21.744,3.0,0.2,6.795,2023,6,25
Russia,Moscow,EMEA,EU-EAST,Johnson & Johnson,Healthcare,SMB,ContactMatcher,218.75,2.0,0.5,-161.875,2020,8,3
Russia,Moscow,EMEA,EU-EAST,Johnson & Johnson,Healthcare,SMB,OneView,2.6,1.0,0.2,0.2925,2020,8,3
Japan,Aichi,APJ,JAPN,Sprint Nextel,Communications,SMB,OneView,66.284,2.0,0.8,-178.9668,2023,12,18
South Africa,Cape Town,EMEA,MEA,Samsung Electronics,Tech,Strategic,SaaS Connector Pack,35.168,7.0,0.2,9.6712,2023,6,4
United States,Oklahoma City,AMER,NAMER,Johnson & Johnson,Healthcare,SMB,Site Analytics,444.768,4.0,0.2,44.4768,2023,12,10
Brazil,Rio de Janeiro,AMER,LATAM,Morgan Stanley,Finance,SMB,Marketing Suite - Gold,83.92,4.0,0.0,5.8744,2023,12,2
